Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
T. Rudloff,M,B,Raw,,,,Masters A,110,110,,,,,,,,,,192.5,,,,,,192.5,1,114.01,113.28,108.27,84.38,,Germany,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
K. Simonds,M,B,Raw,,,,Masters A,110,110,,,,,,,,,,172.5,,,,,,172.5,2,102.17,101.52,97.02,75.61,,USA,OK,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
G. Bellinger,M,B,Raw,,,,Masters A,110,110,,,,,,,,,,155,,,,,,155,3,91.80,91.22,87.18,67.94,,UK,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
L. Holmes,M,B,Raw,,,,Masters A,125,125,,,,,,,,,,227.5,,,,,,227.5,1,128.94,129.64,124.06,94.34,,USA,IA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
S. McKelvey,M,B,Raw,,,,Masters A,125,125,,,,,,,,,,160,,,,,,160,2,90.68,91.18,87.25,66.35,,USA,MO,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
W. Watts,M,B,Raw,,,,Masters A,,125+,,,,,,,,,,215,,,,,,215,1,,,,,,USA,GA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
C. Szafnicki,M,B,Raw,,,,Masters A,,125+,,,,,,,,,,130,,,,,,130,2,,,,,,Poland,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
M. Ingwerson,M,B,Raw,,,,Masters B,75,75,,,,,,,,,,150,,,,,,150,1,107.61,106.88,103.28,79.43,,USA,CA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Rey,M,B,Raw,,,,Masters B,75,75,,,,,,,,,,125,,,,,,125,2,89.68,89.07,86.06,66.19,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
G. Ettl,M,B,Raw,,,,Masters B,75,75,,,,,,,,,,112.5,,,,,,112.5,3,80.71,80.16,77.46,59.57,,USA,IN,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
D. Miklos,M,B,Raw,,,,Masters B,82.5,82.5,,,,,,,,,,130,,,,,,130,1,88.06,87.09,83.80,65.50,,USA,CA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
T. McNamara,M,B,Raw,,,,Masters B,82.5,82.5,,,,,,,,,,112.5,,,,,,112.5,2,76.21,75.36,72.52,56.68,,USA,NY,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Cremades C,M,B,Raw,,,,Masters B,82.5,82.5,,,,,,,,,,85,,,,,,85,3,57.58,56.94,54.79,42.83,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
D. Kimber,M,B,Raw,,,,Masters B,90,90,,,,,,,,,,160,,,,,,160,1,103.46,102.14,97.89,77.15,,Canada,ON,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Megahy,M,B,Raw,,,,Masters B,90,90,,,,,,,,,,150,,,,,,150,2,96.99,95.76,91.78,72.33,,Canada,ON,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
L. Adler,M,B,Raw,,,,Masters B,90,90,,,,,,,,,,147.5,,,,,,147.5,3,95.37,94.16,90.25,71.12,,USA,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
A. Morado M,M,B,Raw,,,,Masters B,100,100,,,,,,,,,,170,,,,,,170,1,104.64,103.46,98.82,77.88,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Sedeno M,M,B,Raw,,,,Masters B,100,100,,,,,,,,,,137.5,,,,,,137.5,2,84.63,83.68,79.92,62.99,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
B. Locke,M,B,Raw,,,,Masters B,110,110,,,,,,,,,,160,,,,,,160,1,94.76,94.16,89.99,70.14,,Canada,ON,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
S. Barrette,M,B,Raw,,,,Masters B,110,110,,,,,,,,,,155,,,,,,155,2,91.80,91.22,87.18,67.94,,Canada,QC,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
W. Mosher,M,B,Raw,,,40-49,Masters B,110,110,,,,,,,,,,127.5,,,,,,127.5,3,75.51,75.03,71.71,55.89,,USA,MI,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
M. McFadden,M,B,Raw,,,,Masters B,125,125,,,,,,,,,,182.5,,,,,,182.5,1,103.43,104.00,99.52,75.68,,USA,CT,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Gibson,M,B,Raw,,,,Masters B,125,125,,,,,,,,,,147.5,,,,,,147.5,2,83.60,84.05,80.44,61.16,,USA,MO,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
G. Carter,M,B,Raw,0.5,,,Masters B,125,125,,,,,,,,,,145,,,,,,145,3,82.18,82.63,79.07,60.13,,USA,MN,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
M. Tanaka,M,B,Raw,,,,Grandmasters A,67.5,67.5,,,,,,,,,,115,,,,,,115,1,88.64,88.67,86.07,64.44,,Japan,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Lintner,M,B,Raw,,,,Grandmasters A,75,75,,,,,,,,,,132.5,,,,,,132.5,1,95.06,94.41,91.23,70.16,,USA,IN,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
S. Marshall,M,B,Raw,,35-39,24-39,Grandmasters A,75,75,,,,,,,,,,107.5,,,,,,107.5,2,77.12,76.60,74.01,56.92,,USA,NE,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
W. Wilde,M,B,Raw,,,,Grandmasters A,75,75,,,,,,,,,,90,,,,,,90,3,64.57,64.13,61.97,47.66,,Germany,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
H. Greenidge,M,B,Raw,,,,Grandmasters A,82.5,82.5,,,,,,,,,,155,,,,,,155,1,105.00,103.84,99.91,78.10,,Canada,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Presta,M,B,Raw,,,,Grandmasters A,90,90,,,,,,,,,,120,,,,,,120,1,77.59,76.61,73.42,57.86,,USA,NY,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Radloff,M,B,Raw,,,,Grandmasters A,100,100,,,,,,,,,,165,,,,,,165,1,101.56,100.42,95.91,75.59,,USA,WI,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
C. May,M,B,Raw,,,,Grandmasters A,100,100,,,,,,,,,,162.5,,,,,,162.5,2,100.02,98.90,94.46,74.44,,USA,IN,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
A. Rask,M,B,Raw,,,,Grandmasters A,100,100,,,,,,,,,,107.5,,,,,,107.5,3,66.17,65.42,62.49,49.25,,USA,MO,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
L. Motta Sr,M,B,Raw,,,50-59,Grandmasters A,110,110,,,,,,,,,,170,,,,,,170,1,100.69,100.04,95.62,74.52,,USA,MA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
K. McWilliams,M,B,Raw,,,,Grandmasters A,110,110,,,,,,,,,,155,,,,,,155,2,91.80,91.22,87.18,67.94,,USA,IN,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
E. Manigold,M,B,Raw,,,,Grandmasters A,110,110,,,,,,,,,,117.5,,,,,,117.5,3,69.59,69.15,66.09,51.51,,Canada,ON,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
G. Black,M,B,Raw,,,,Grandmasters A,125,125,,,,,,,,,,180,,,,,,180,1,102.02,102.57,98.16,74.64,,USA,MD,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
S. Neal,M,B,Raw,,,,Grandmasters A,125,125,,,,,,,,,,155,,,,,,155,2,87.85,88.33,84.53,64.27,,USA,WA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Wetenhall,M,B,Raw,,,,Grandmasters A,,125+,,,,,,,,,,160,,,,,,160,1,,,,,,USA,OH,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Steventon,M,B,Raw,,,,Grandmasters A,,125+,,,,,,,,,,70,,,,,,70,2,,,,,,UK,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
K. Yoshida,M,B,Raw,,,,Grandmasters B,75,75,,,,,,,,,,100,,,,,,100,1,71.74,71.26,68.85,52.95,,Japan,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
G. Mullendore,M,B,Raw,,,,Grandmasters B,75,75,,,,,,,,,,92.5,,,,,,92.5,2,66.36,65.91,63.69,48.98,,USA,CA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
B. Desjarlais,M,B,Raw,,,,Grandmasters B,82.5,82.5,,,,,,,,,,145,,,,,,145,1,98.22,97.14,93.46,73.06,,Canada,SK,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Christiansen,M,B,Raw,,,,Grandmasters B,82.5,82.5,,,,,,,,,,120,,,,,,120,2,81.29,80.39,77.35,60.46,,Norway,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Alexander,M,B,Raw,,24-34,,Grandmasters B,90,90,,,,,,,,,,162.5,,,,,,162.5,1,105.07,103.74,99.42,78.35,,USA,WA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
T. Frejdeborn,M,B,Raw,,,,Grandmasters B,90,90,,,,,,,,,,127.5,,,,,,127.5,2,82.44,81.40,78.01,61.48,,Sweden,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Danburg,M,B,Raw,,,,Grandmasters B,90,90,,,,,,,,,,105,,,,,,105,3,67.89,67.03,64.24,50.63,,USA,CO,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
S. Ribble,M,B,Raw,,,,Grandmasters B,100,100,,,,,,,,,,135,,,,,,135,1,83.09,82.16,78.47,61.85,,USA,TX,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
M. Lefevre,M,B,Raw,,,,Grandmasters B,110,110,,,,,,,,,,157.5,,,,,,157.5,1,93.28,92.69,88.59,69.04,,France,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
D. Stamper,M,B,Raw,,,,Grandmasters B,110,110,,,,,,,,,,155,,,,,,155,2,91.80,91.22,87.18,67.94,,USA,IN,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R.C. Lincoln,M,B,Raw,,,,Grandmasters B,125,125,,,,,,,,,,167.5,,,,,,167.5,1,94.93,95.45,91.34,69.46,,USA,CA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
W. Andrews,M,B,Raw,,,,Grandmasters B,125,125,,,,,,,,,,70,,,,,,70,2,39.67,39.89,38.17,29.03,,USA,NH,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
M. Gosselin,M,B,Raw,,,,Grandmasters B,,125+,,,,,,,,,,175,,,,,,175,1,,,,,,Canada,QC,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Oppolo Sr,M,B,Raw,,,,Grandmasters B,,125+,,,,,,,,,,145,,,,,,145,2,,,,,,USA,IN,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
A. Dickinson,M,B,Raw,,,,Grandmasters C,67.5,67.5,,,,,,,,,,75,,,,,,75,1,57.81,57.83,56.13,42.02,,UK,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. French,M,B,Raw,,,,Grandmasters C,82.5,82.5,,,,,,,,,,122.5,,,,,,122.5,1,82.98,82.06,78.96,61.72,,USA,WI,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Petersen,M,B,Raw,,,,Grandmasters C,90,90,,,,,,,,,,97.5,,,,,,97.5,1,63.04,62.24,59.65,47.01,,Germany,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
T. Flannery,M,B,Raw,,,,Grandmasters C,100,100,,,,,,,,,,115,,,,,,115,1,70.78,69.99,66.85,52.68,,Ireland,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Morgan,M,B,Raw,,,,Grandmasters C,100,100,,,,,,,,,,102.5,,,,,,102.5,2,63.09,62.38,59.58,46.96,,USA,IN,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
T. Murguia,M,B,Raw,,,,Grandmasters D,75,75,,,,,,,,,,87.5,,,,,,87.5,1,62.77,62.35,60.24,46.33,,USA,FL,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
C. Johnson,M,B,Raw,,,,Grandmasters D,82.5,82.5,,,,,,,,,,85,,,,,,85,1,57.58,56.94,54.79,42.83,,USA,CA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Sanchez,M,B,Raw,,,,Grandmasters D,82.5,82.5,,,,,,,,,,75,,,,,,75,2,50.80,50.24,48.34,37.79,,USA,CA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
